depth.cm,AgeCal,Pinus,Abies,Cedrus,Juniperus,Picea,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Semideciduous.Quercus,Evergreen.Quercus,Ilex.Aquifolium,Sambucus,Viburnum,Tamarix,Buxus,Oleaceae,Pistacia,Rhamnus,Ephedra,Myrtus,Thymelaea,Myrica,Arbutus.unedo,Ericaceae,Rosaceae,Ribes,Sanguisorba,Genista,Cistaceae,Helianthemum,Lamiaceae,Hedera.helix,Poaceae,Cerealia,Lygeum.spartum,Artemisia,Cichorioideae,Asteroidae,Carduae,Centaurea,Rubiaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Resedaceae,Brassicaceae,Gentiana,Saxifragaceae,Fabaceae,Lotus.t,Trifolium.t,Fumariaceae,Potentilla,Filipendula,Boraginaceae,Linum,Corydalis,Urticaceae,Cannabis.Humulus.t,Mentha.t,Rumex,Plumbaginaceae,Berberidaceae,Euphorbiaceae,Primulaceae,Scrophulariaceae,Papaver,Geraniaceae,Campanulaceae,Dipsacaceae,Malvaceae,Violaceae,Valerianaceae,Convolvulaceae,Polygonaceae,Liliaceae,Asphodelus,Iridaceae,Crocus.t,Colchicum,Crassulaceae,Epilobium,Aristolochia,Orobanche,Onagraceae,Apiaceae,Ranunculaceae,Cyperaceae,Typhaceae,Juncus,Sparganium,Thalictrum,Lythrum,Stratiotes,Utricularia,Ledum.palustre,Ranunculus,Pedicularis,Myriophyllum,Lemna,Nymphaea,Nuphar,Potamogeton,Isoetes,Alisma,Callitriche,Asplenium,Spora.monolete.ornate,Spora.monolete,Spora.trilete.ornate,Spora.trilete,Polypodium,Botrychium,Pteris,Equisetum,Selaginella,Undet,Lycopodium
4077,73736.8,28,0,0,8,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,7,21,0,0,0,4,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,1,0,31,0,0,36,0,0,1,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,212,150,15,29,0,0,0,0,0,9,0,60,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1
4085,73826.7,19,0,1,58,0,0,1,4,2,0,1,0,0,0,1,0,0,0,0,6,24,0,0,1,0,0,0,0,0,6,0,0,0,0,0,4,0,0,7,0,1,2,0,75,0,0,53,2,1,0,0,0,10,1,2,0,3,0,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,8,34,0,1,0,0,0,0,0,0,0,142,1,0,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,9,2
4093,73915,22,0,0,9,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,1,0,0,5,0,40,0,0,53,5,0,0,1,1,16,4,9,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,316,8,14,0,3,0,0,1,0,0,0,182,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,6,7
4098,73970.2,26,0,0,61,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,4,9,0,0,2,1,0,1,0,0,2,0,0,0,0,3,4,0,0,1,0,4,1,0,53,0,0,61,8,3,0,1,1,31,1,1,0,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,360,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,266
4105,74049.2,33,0,0,8,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,2,0,26,0,0,68,0,2,3,0,0,15,2,21,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,263,0,4,0,3,0,0,0,0,1,0,276,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,12,40
4114,74151,5,0,0,105,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,1,7,0,0,1,1,2,0,0,0,1,0,0,0,0,3,6,0,0,6,0,0,3,0,67,0,0,50,4,2,0,0,0,14,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,3,211,3,7,0,0,0,0,0,0,0,0,78,0,0,1,32,1,1,0,0,0,1,0,0,0,0,0,0,0,6,2
4130,74327.6,18,0,0,54,0,0,1,0,0,0,6,1,0,0,0,1,0,0,0,17,20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,11,0,1,4,0,65,0,0,47,3,2,0,1,0,9,3,1,0,0,0,0,6,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,44,4,0,1,0,0,0,1,0,0,0,108,0,0,3,15,0,1,0,0,0,0,0,0,0,0,0,0,0,7,12
4146,74502.5,22,0,0,70,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,11,11,0,0,0,1,1,2,0,0,2,0,0,0,0,0,7,0,0,7,0,2,0,1,42,0,1,52,10,8,0,1,0,24,2,1,0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,117,9,3,0,0,0,0,0,0,0,1,14,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27
4165,74714.2,52,0,0,10,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,6,5,0,24,0,0,31,6,1,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,1,0,1,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
4172,74796,40,0,3,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,7,0,1,1,0,0,0,0,1,1,0,0,5,1,3,16,1,50,0,0,73,8,7,1,1,1,8,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,9,3,0,2,0,0,0,0,0,0,0,12,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,16,7
