AgeCal (Valero-Garces et al 2019),Composite depth (cm),TC,TS,TIC,TOC
30270,1188.00,7.6347,0.13187,7.4062,0.228499999999999
30325.5,1198.00,7.7974,0.14427,7.5623,0.2351
30379.1,1208.00,9.4441,0.1725,9.2315,0.2126
30433.9,1218.00,11.874,0.21727,11.608,0.266
30485.8,1228.00,11.255,0.17779,11.042,0.213000000000001
30539.4,1238.00,11.816,0.21098,11.663,0.153
30594,1248.00,11.162,0.32545,10.819,0.343
30646.7,1258.00,11.331,0.35049,11.098,0.232999999999999
30845.8,1268.00,10.922,0.32688,10.492,0.43
31103.6,1278.00,11.292,0.34459,11.096,0.196
31359.3,1288.00,11.498,0.28861,11.244,0.254
31621.6,1298.00,11.005,0.2144,10.444,0.561
31881.6,1308.00,10.271,0.22711,10.307,-0.036
32190.5,1319.76,10.629,0.2555,10.446,0.183
32406.6,1328.00,10.402,0.21766,10.042,0.359999999999999
32669.1,1338.00,10.584,0.22174,10.428,0.155999999999999
32935.7,1348.00,10.053,0.18256,9.8666,0.186400000000001
33196,1358.00,10.002,0.25935,9.8811,0.120900000000001
33454.3,1368.00,9.9652,0.25287,9.7952,0.17
33714.9,1378.00,10.001,0.2576,9.4559,0.5451
34123.6,1394.00,7.4879,0.085551,7.2483,0.239599999999999
34353.7,1402.89,7.0711,0.05825,6.9979,0.073200000000001
34581.7,1411.78,6.2095,0.05432,6.1538,0.0557
34639.2,1414.00,10.687,0.20969,10.489,0.197999999999999
34897.1,1424.00,10.149,0.34923,9.9738,0.175199999999998
35153.6,1434.00,10.617,0.31632,10.546,0.071000000000002
35417.5,1444.00,10.806,0.34198,10.646,0.159999999999998
35677,1454.00,10.949,0.29476,10.725,0.224
35936.8,1464.00,10.954,0.35745,10.69,0.264000000000001
36351.3,1480.00,12.378,0.82365,11.653,0.725
36635.6,1491.02,12.183,0.5124,11.711,0.472
36920,1502.04,12.629,0.31457,12.21,0.418999999999999
37177.3,1513.06,10.897,0.38244,10.435,0.462
37299.7,1524.08,11.281,0.61915,10.533,0.748000000000001
37524,1544.67,8.5347,0.85674,7.3586,1.1761
37645.8,1555.33,7.288,1.1462,6.2402,1.0478
37772.6,1566.00,7.8481,0.69249,7.3178,0.5303
37895.4,1576.67,10.023,0.44037,9.4542,0.5688
38023.1,1587.33,8.3007,0.53064,7.8644,0.436300000000001
38151.4,1598.00,6.6277,0.32188,5.8704,0.7573
38277.1,1608.50,6.4208,1.367,5.0331,1.3877
38399.1,1619.00,5.9963,0.44168,5.3665,0.6298
38527.6,1629.50,6.1,2.1481,5.2426,0.857399999999999
38646.2,1640.00,5.783,2.066,4.9357,0.847300000000001
38766.4,1650.50,6.2318,2.0256,5.3093,0.922499999999999
38891.4,1661.00,5.7472,3.0339,4.9065,0.8407
39000.6,1671.18,5.6415,1.7487,4.4572,1.1843
39111.2,1681.35,5.8813,2.6234,5.3339,0.547400000000001
39219.3,1691.53,5.3976,2.2452,4.8454,0.5522
39327,1701.70,5.203,1.9618,4.7408,0.4622
39432.5,1711.88,6.7898,0.59768,6.5088,0.281
39506.4,1719.00,7.2046,0.93353,6.7181,0.4865
39613.4,1729.17,6.9531,1.2134,6.504,0.449100000000001
39720.1,1739.33,6.7329,0.57249,6.1938,0.5391
39827.2,1749.50,6.5952,0.64448,6.1489,0.4463
39928.5,1759.67,6.253,1.0407,5.8997,0.3533
40029.7,1769.83,7.4693,0.77846,7.0742,0.395099999999999
40138,1780.00,8.7341,0.32837,8.2435,0.490600000000001
40243.5,1790.53,10.059,0.3546,9.5264,0.532599999999999
40354.9,1801.05,12.773,0.52539,12.104,0.669000000000001
41056.1,1866.00,8.0945,0.24593,7.5445,0.55
41178.9,1876.53,7.8611,0.13382,7.4506,0.410500000000001
41301.2,1887.05,7.8302,1.1912,7.2517,0.5785
41431.7,1897.58,7.3937,0.44664,6.8467,0.547
41558.3,1908.11,7.9779,0.69511,7.4954,0.4825
41683.9,1918.63,8.4282,0.54937,7.9612,0.467000000000001
42511.2,1992.00,8.0994,0.88606,6.6627,1.4367
42616.4,2002.34,8.6421,1.0774,8.0666,0.5755
42727.1,2012.69,8.7653,0.8797,8.3266,0.438700000000001
42891.5,2023.03,9.5386,0.32461,9.089,0.4496
43039.6,2033.38,9.4386,0.28019,9.0158,0.422799999999999
43184.8,2043.72,9.4705,0.24464,9.063,0.407499999999999
44135.5,2118.00,5.539,0.072722,5.2179,0.321099999999999
44250.6,2128.58,6.1985,0.12295,5.8113,0.3872
44359.5,2139.17,5.314,0.09609,4.9516,0.3624
44470,2149.75,5.0716,0.080262,4.7395,0.3321
44587.5,2160.33,5.1541,0.06851,4.8204,0.333699999999999
44690.2,2170.92,5.3984,0.059781,5.1042,0.2942
44802.4,2181.50,5.1181,0.046502,4.7792,0.3389
44918.2,2192.09,5.1503,0.054759,4.8175,0.3328
45033.6,2202.68,5.1087,0.05755,4.8523,0.2564
45148.1,2213.26,5.3127,0.0528,5.0712,0.2415
45256.4,2223.85,5.1516,0.060018,4.902,0.2496
45378.4,2234.44,5.6258,0.056105,5.3181,0.3077
45392.8,2235.50,5.7717,0.0587,5.5604,0.2113
45497.6,2246.13,4.8849,0.082845,4.5563,0.3286
45612.9,2256.75,4.8714,0.06374,4.4644,0.407
45762.4,2267.38,4.4005,0.037592,4.0283,0.3722
45921.5,2278.00,5.2879,0.050512,4.9179,0.369999999999999
46086.8,2288.17,5.2695,0.064177,4.8836,0.385899999999999
46254.6,2298.34,5.7199,0.077606,5.3565,0.3634
46415.4,2308.51,5.3938,0.056468,5.1033,0.2905
46587,2318.68,5.1003,0.063672,4.7344,0.3659
46767,2328.85,4.7812,0.031806,4.4023,0.3789
47015.7,2344.00,4.5868,0.60142,3.9297,0.6571
47339.6,2363.05,5.01,1.3258,4.2719,0.7381
47492.5,2372.57,4.7874,1.3368,4.0603,0.7271
48689.5,2450.00,5.1883,0.072424,4.2787,0.9096
48834.9,2459.64,5.1173,0.03842,4.6094,0.5079
