AgeCal (Valero-Garces et al 2019),Composite depth (cm),MS
7805,165.80,3.04790534
7833.7,166.40,3.14154218
7862.4,167.00,2.87239042
7891.4,167.60,2.87218925
7920.3,168.20,2.97218925
7953.8,168.90,2.78371749
7982.5,169.50,2.66407059
8011.4,170.10,2.81933442
8040,170.70,2.95408081
8068.6,171.30,2.83719245
8097.4,171.90,3.00850736
8125.9,172.50,2.9090826
8154.4,173.10,2.77218925
8188,173.80,2.73719245
8216.8,174.40,2.68198266
8245.2,175.00,2.53600601
8274,175.60,2.70850736
8302.3,176.20,2.51796477
8331,176.80,2.55508361
8359.7,177.40,1.91477062
8388,178.00,2.32939455
8421.2,178.70,3.04591198
8449.9,179.30,2.79995701
8478.2,179.90,2.68198266
8506.7,180.50,2.72671718
8535.3,181.10,2.78287918
8564,181.70,2.97951666
8592.5,182.30,3.32227923
8620.8,182.90,3.67390434
8654.2,183.60,3.91076389
8682.5,184.20,4.36031403
8711.2,184.80,4.872396
8739.6,185.40,5.35327174
8767.6,186.00,5.8266932
9052.6,192.00,5.80699619
9076.5,192.50,-0.296925201
9100.1,193.00,-0.380149627
9123.9,193.50,-0.546761057
9147.5,194.00,-0.602959758
9171.3,194.50,-0.621868972
9195.1,195.00,-0.848110946
9218.8,195.50,-0.877895663
9242.4,196.00,-0.850136937
9266.2,196.50,-0.918648181
9290,197.00,-1.07509995
9313.7,197.50,-0.648110946
9337.4,198.00,-0.476664867
9361.2,198.50,-0.334925165
9384.9,199.00,-0.334925165
9408.6,199.50,-0.4853261
9432.4,200.00,-0.518648181
9456.1,200.50,-0.448080507
9480.1,201.00,-0.492747232
9503.8,201.50,-0.626027664
9527.6,202.00,-0.450136937
9551.4,202.50,-0.284222704
9575.3,203.00,-0.418648181
9599,203.50,-0.514713532
9623,204.00,-0.666253258
9646.8,204.50,-0.181081549
9670.6,205.00,-0.224756754
9694.3,205.50,-0.295676068
9718.2,206.00,-0.480149627
9741.9,206.50,-0.386077897
9765.6,207.00,-0.30756781
9789.4,207.50,-0.200413308
9813.2,208.00,-0.062787337
9837.1,208.50,-0.278896955
9860.7,209.00,-0.348835394
9884.6,209.50,-0.348835394
9908.4,210.00,-0.275099949
9932.3,210.50,-0.214713532
9955.7,211.00,-0.268028207
9979.5,211.50,-0.178896955
10003.1,212.00,-0.214713532
10027,212.50,-0.078896955
10050.6,213.00,-0.146761057
10074.4,213.50,-0.175099949
10098.1,214.00,-0.214713532
10122,214.50,-0.178896955
10145.5,215.00,-0.178896955
10169.3,215.50,-0.224756754
10193.1,216.00,-0.062787337
10217,216.50,0.107252768
10240.8,217.00,0.223335133
10264.7,217.50,0.008229012
10288.6,218.00,0.194027566
10312.5,218.50,-0.355453709
10336.5,219.00,-0.500413308
10360.2,219.50,-0.610234424
10384,220.00,-0.421868972
10407.9,220.50,-0.548110946
10431.6,221.00,-0.548110946
10455.4,221.50,-0.910507403
10479.4,222.00,-0.566253258
10503,222.50,-0.559292444
10527,223.00,-0.761152517
10550.7,223.50,-0.56624598
10574.6,224.00,-0.731300177
10598.6,224.50,-0.581284099
10622.5,225.00,-0.494665297
10646.3,225.50,-0.407841756
10669.9,226.00,-0.396925201
10693.9,226.50,-0.501343981
10717.8,227.00,-0.421332534
10741.7,227.50,-0.613680043
10765.6,228.00,-0.464398116
10789.3,228.50,0.586123123
10813,229.00,0.159396724
10836.4,229.50,-0.578896955
10860.5,230.00,-0.692741596
10884.4,230.50,-0.594012419
10908.4,231.00,0.324900051
10932.2,231.50,-0.408014739
10956,232.00,1.31291479
10979.9,232.50,1.37325148
11003.9,233.00,2.16672875
11027.7,233.50,2.30295263
11051.8,234.00,2.14881757
11075.9,234.50,0.692264773
11099.9,235.00,0.420098369
11123.8,235.50,0.205334703
11147.7,236.00,0.697040242
11171.6,236.50,1.78249992
11195.6,237.00,2.57213588
11219.3,237.50,3.09243219
11243.3,238.00,2.63374674
11267.3,238.50,2.49958669
11291.4,239.00,2.5146739
11315.4,239.50,2.64454629
11339.2,240.00,2.55191949
11363.1,240.50,2.19243219
11387,241.00,2.67458431
11411,241.50,1.94059415
11434.8,242.00,1.22110305
11458.8,242.50,1.45191949
11482.6,243.00,1.49243219
11506.9,243.50,2.22988815
11530.7,244.00,2.09704024
11554.6,244.50,1.96746047
11578.6,245.00,1.83905218
11602.5,245.50,2.01783694
11626.6,246.00,2.37914331
11650.2,246.50,2.34070756
11674.1,247.00,2.41985037
11698.2,247.50,1.95429909
11722.3,248.00,2.12679435
11746.2,248.50,2.06918012
11770.3,249.00,2.40598758
11794.4,249.50,2.33374674
11818.5,250.00,2.05814655
11842.6,250.50,1.08525608
11866.1,251.00,0.742831271
11913.7,252.00,5.10052429
11937.6,252.50,6.25652136
11961.3,253.00,3.56179666
11985.3,253.50,3.32220724
12009.2,254.00,3.23166027
12033.2,254.50,3.44326508
12056.9,255.00,2.75274511
12080.9,255.50,3.16012004
12104.5,256.00,2.4494421
12128.5,256.50,2.04572738
12152.5,257.00,2.64913591
12176.6,257.50,2.4672906
12200.4,258.00,2.26344676
12224.8,258.50,2.40847362
12249,259.00,2.46359243
12272.9,259.50,3.07695758
12296.7,260.00,2.41275522
12320.7,260.50,1.90709473
12344.9,261.00,1.98404138
12361.7,261.50,2.63472991
12378.6,262.00,3.0014903
12395.3,262.50,3.48404138
12411.6,263.00,3.40463029
12428.7,263.50,3.64121697
12445.3,264.00,2.61494803
12461.9,264.50,2.82773987
12478.5,265.00,2.95179914
12495,265.50,2.75901745
12511.8,266.00,3.29401347
12528.4,266.50,2.58486086
12545.2,267.00,2.9378425
12561.9,267.50,2.44121697
12578.3,268.00,2.69408858
12595.1,268.50,2.89789812
12611.5,269.00,2.42647986
12628.2,269.50,1.75839216
12645,270.00,2.74081284
12661.4,270.50,2.63527214
12677.6,271.00,2.71568752
12694.4,271.50,2.81568752
12710.5,272.00,2.96732712
12726.9,272.50,2.73472991
12743.7,273.00,3.03527214
12760.5,273.50,2.90336419
12777.4,274.00,1.81150407
12793.5,274.50,2.31374799
12810.5,275.00,1.89149136
12827.6,275.50,1.48738991
12844.1,276.00,1.58150723
12861,276.50,3.03563024
12877.5,277.00,3.1169689
12893.9,277.50,4.47041827
12909.9,278.00,3.00304129
12926.5,278.50,2.05430065
12942.4,279.00,3.40428633
12959.1,279.50,2.08488217
12976.2,280.00,2.38150723
12992.9,280.50,2.54326508
13010,281.00,3.09282972
13026.7,281.50,3.36732712
13043.8,282.00,3.44081284
13060.1,282.50,3.18404138
13076.6,283.00,3.33794198
13092.5,283.50,3.39282972
13108.8,284.00,3.52773987
13125.1,284.50,3.29432809
13141.4,285.00,2.69722497
13158.6,285.50,2.60328092
13175.7,286.00,2.71494803
13192.4,286.50,2.64524482
13209.3,287.00,2.21400967
13226,287.50,2.81374799
13242.4,288.00,3.02423098
13258.7,288.50,3.15251744
13274.9,289.00,2.65662572
13291.3,289.50,2.7049118
13307.9,290.00,2.91253072
13324.3,290.50,3.46383574
13341.1,291.00,3.58486086
13357.9,291.50,2.1791737
13375,292.00,3.66732712
13392.1,292.50,4.12423098
13408.8,293.00,4.91889142
13425.2,293.50,4.31568752
13441.6,294.00,4.7378425
13458.2,294.50,4.72461987
13474.6,295.00,3.93527214
13491.4,295.50,3.54599479
13507.7,296.00,4.18613662
13524.4,296.50,4.01889142
13540.9,297.00,3.36819601
13557.4,297.50,3.06732712
13574.3,298.00,4.04738938
13591.1,298.50,3.32993431
13607.9,299.00,3.42640721
13624.8,299.50,3.65251744
13641.4,300.00,3.58613662
13657.9,300.50,3.49703796
13675,301.00,4.57382311
13691.6,301.50,4.15662572
13708.1,302.00,3.49282972
13724,302.50,3.96280255
13741.1,303.00,3.40463029
13757.6,303.50,3.456375
13774.2,304.00,3.98217341
13790.9,304.50,4.51840034
13808,305.00,3.87377013
13824.6,305.50,4.44811458
13841.4,306.00,3.87695758
13858.1,306.50,4.53577988
13875.6,307.00,4.41253072
13892,307.50,4.34811458
13908.8,308.00,4.01889142
13925.1,308.50,3.59789812
13942,309.00,3.6722575
13958.5,309.50,3.95588098
13974.9,310.00,3.97721702
13991.7,310.50,4.12009637
14008.5,311.00,4.34628071
14025.7,311.50,4.4614693
14042.2,312.00,4.23472991
14059.5,312.50,4.34614122
14073.3,312.90,3.99958669
14090.1,313.40,3.16075681
14107.3,313.90,2.81161666
14123.9,314.40,2.23786194
14137.2,314.80,2.82988815
14153.4,315.30,2.64894028
14170.3,315.80,3.09318374
14183.6,316.20,3.17914331
14200.5,316.70,2.8072584
14217.3,317.20,2.95116461
14230.8,317.60,2.43212897
14247.6,318.10,2.75567884
14264.7,318.60,3.12679435
14281.7,319.10,2.95116461
14295.2,319.50,2.53721266
14312.5,320.00,2.15814655
14329.2,320.50,2.22490005
14343.1,320.90,1.73691514
14359.6,321.40,2.47866747
14376,321.90,2.76918012
14393.2,322.40,3.08525608
14406.9,322.80,3.06803705
14423.8,323.30,3.3474425
14440.6,323.80,3.3187159
14453.9,324.20,3.33375402
14470.4,324.70,2.87325148
14487.6,325.20,3.05429909
14501.5,325.60,2.95429909
14518.5,326.10,2.39906874
14535.4,326.60,2.6269221
14552.7,327.10,3.03884748
14566.4,327.50,3.02541844
14583.7,328.00,3.31985037
14600.6,328.50,3.14894028
14614.6,328.90,3.25814655
14631.4,329.40,3.09198526
14648.1,329.90,3.31783694
14665,330.40,3.46034535
14678.5,330.80,2.7889417
14712.5,331.80,3.89865602
14726.3,332.20,4.34070756
14743.6,332.70,3.8072584
14760.9,333.20,3.63549149
14774.8,333.60,4.71891845
14791.8,334.10,5.10598758
14808.7,334.60,4.73374674
14825.8,335.10,4.32679435
14839.3,335.50,3.96803705
14856.7,336.00,3.99906874
14873.6,336.50,4.04059415
14887,336.90,3.24395945
14904.2,337.40,2.64881757
14921.3,337.90,2.84070756
14938.5,338.40,3.59906874
14952.2,338.80,3.67914331
14969.4,339.30,3.77836224
14986.7,339.80,3.31328282
15000.4,340.20,2.86869982
15017.3,340.70,2.9187159
15034.8,341.20,2.7474425
15048.6,341.60,2.93375402
15065.7,342.10,3.09627963
15082.5,342.60,3.19627963
15099.6,343.10,2.89627963
15113.2,343.50,2.75567884
15130.2,344.00,2.86242545
15147.4,344.50,2.73375402
15161.4,344.90,2.74059415
15178.3,345.40,2.93375402
15195.3,345.90,3.2030748
15212.2,346.40,3.1030748
15225.7,346.80,3.19215824
15242.8,347.30,3.23374674
15259.9,347.80,3.15116461
15273.7,348.20,3.04059415
15290.9,348.70,3.17213588
15308,349.20,3.33549149
15321.7,349.60,3.59704024
15339,350.10,3.55191949
15356.1,350.60,3.53721266
15373.1,351.10,3.49316103
15386.8,351.50,4.56507484
15403.9,352.00,3.90327393
15421,352.50,1.9696348
15902.3,366.60,5.91933442
15919,367.10,7.00347112
15939.5,367.70,7.18644795
15960.1,368.30,7.5385898
15980.3,368.90,7.6380516
16000.7,369.50,7.45652136
16021.1,370.10,6.36326816
16038.3,370.60,7.76901754
16058.8,371.20,6.69150275
16079.1,371.80,6.02171508
16099.1,372.40,6.58173495
16119.4,373.00,7.42297044
16140.2,373.60,6.79823778
16157.1,374.10,6.45891337
16177.4,374.70,6.35891337
16197.9,375.30,6.19150275
16218.2,375.90,5.56080854
16238.8,376.50,5.37084079
16256,377.00,5.70571195
16276,377.60,5.43940423
16296.4,378.20,5.35510843
16316.4,378.80,5.40239024
16336.4,379.40,5.40239024
16356.4,380.00,5.53774706
16372.9,380.50,5.38660138
16392.9,381.10,5.79408718
16413,381.70,5.72644169
16433.1,382.30,5.44060872
16453.2,382.90,5.54060872
16473.6,383.50,5.61477062
16490.5,384.00,5.54792661
16510.8,384.60,5.65652136
16530.5,385.20,5.72297044
16551,385.80,5.790195
16571.1,386.40,5.94093679
16591.1,387.00,5.48173495
16607.6,387.50,5.81757381
16628,388.10,5.92074546
16648.1,388.70,5.80347112
16668.1,389.30,5.79887454
16687.9,389.90,5.90850736
16705,390.40,5.86323874
16724.8,391.00,6.26656261
16745.1,391.60,6.44556219
16764.9,392.20,6.50141467
16785.1,392.80,6.57924341
16805.4,393.40,5.80347112
16822.3,393.90,5.39823778
16842.1,394.50,6.30141467
16862.3,395.10,8.06685776
16882.1,395.70,5.20707801
16902.1,396.30,5.73469026
16921.9,396.90,6.94154218
16938.7,397.40,6.94556219
16958.6,398.00,6.87951666
16978.8,398.60,5.15380797
16999,399.20,6.69814716
17018.9,399.80,6.49033141
17035.4,400.30,6.56323874
17055.5,400.90,6.31632467
17075.5,401.50,6.41477062
17095.3,402.10,7.0579127
17115.2,402.70,9.86901754
17135.2,403.30,8.10150946
17151.9,403.80,8.28365498
17172,404.40,9.08985139
17192.1,405.00,19.2690175
17212.3,405.60,29.2550836
17232.4,406.20,12.8482322
17252.4,406.80,7.40150946
17268.9,407.30,6.89995701
17289.1,407.90,6.78371749
17309.1,408.50,7.033807
17329.1,409.10,7.66886857
17349,409.70,6.66886857
17369.2,410.30,4.9834349
17385.9,410.80,5.32189137
17405.6,411.40,4.21933442
17425.4,412.00,4.81998485
17445.3,412.60,4.96459067
17465.1,413.20,4.0579127
17481.8,413.70,4.69814716
17501.7,414.30,4.49033141
17521.5,414.90,4.2274801
17541.4,415.50,4.20141467
17561.2,416.10,4.1274801
17581.1,416.70,4.38287918
17597.9,417.20,4.24591198
17617.8,417.80,4.41708645
17624.4,418.00,5.13221021
17637.8,418.40,5.12227923
17641.2,418.50,5.55296148
17657.6,419.00,8.84120124
17674.5,419.50,6.73772857
17677.9,419.60,6.05957723
17691.3,420.00,6.58816385
17697.7,420.20,5.16483846
17707.5,420.50,4.98952663
17714.3,420.70,4.50359091
17724.4,421.00,4.11807767
17741,421.50,3.85145063
17757.6,422.00,3.8780093
17774.2,422.50,4.23188228
17790.7,423.00,4.15050828
17807.4,423.50,5.00230129
17823.8,424.00,6.43045384
17840.3,424.50,6.14304878
17856.9,425.00,7.56684654
17873,425.50,8.13283901
17889.4,426.00,7.7891828
17906.1,426.50,8.65118293
17922.9,427.00,7.47695758
17939.6,427.50,6.12655262
17956.4,428.00,8.56684654
17973,428.50,8.95327386
17989.5,429.00,8.961571
18006.1,429.50,7.90851247
18022.7,430.00,9.69805334
18039.1,430.50,10.2124653
18055.5,431.00,10.261571
18072.2,431.50,10.2408106
18088.8,432.00,9.94081056
18105.2,432.50,9.1466696
18121.8,433.00,7.34030889
18138.5,433.50,8.39220983
18155.2,434.00,10.9126164
18171.6,434.50,12.5922098
18188.5,435.00,11.4000181
18205.1,435.50,7.34682406
18221.8,436.00,4.83505537
18238.3,436.50,4.80001809
18255,437.00,4.83505537
