AgeCal (Valero-Garces et al 2019),Composite depth (cm),MS
39751.8,1742.40,5.21253072
39756.9,1742.90,5.11253072
39761.7,1743.40,5.23474456
39766.7,1743.90,5.02984361
39772.8,1744.40,4.76981625
39779.4,1744.90,4.53728887
39783.4,1745.40,4.9049118
39788.7,1745.90,4.98613662
39796.1,1746.50,4.69276071
39802.7,1747.00,4.78613662
39808.2,1747.50,4.62647986
39811.4,1748.00,4.75895702
39816.7,1748.50,4.92984361
39822.7,1749.00,4.63527214
39827.2,1749.50,4.75179914
39831.2,1750.00,4.47382311
39836.3,1750.50,4.72362895
39841.6,1751.00,4.73728887
39847.3,1751.50,4.81889142
39853.1,1752.00,5.13474456
39856.8,1752.60,4.94121697
39860.2,1753.10,5.16076761
39864,1753.60,5.15901745
39869.9,1754.10,4.75901745
39876.6,1754.60,3.75895702
39881,1755.10,4.40225815
39884.5,1755.60,4.04141594
39889.2,1756.10,3.98077172
39895.8,1756.60,1.95422742
39901.3,1757.10,3.73563024
39905.9,1757.60,3.78217341
39910.3,1758.10,3.69276071
39918,1758.70,3.99276071
39922.7,1759.20,3.79276071
39928.5,1759.70,3.89276071
39932.2,1760.20,3.89276071
39938.4,1760.70,3.59282972
39944.8,1761.20,3.45577575
39947.6,1761.70,4.39282972
39953,1762.20,3.33563024
39956.8,1762.70,3.26284017
39963.7,1763.20,3.26012004
39968.4,1763.70,3.61400967
39973.9,1764.20,3.89432809
39978.5,1764.80,2.76963401
39982.7,1765.30,2.6934791
39988.2,1765.80,2.2939044
39994.7,1766.30,1.80847362
40001,1766.80,2.40332305
40003.9,1767.30,1.51959826
40009.7,1767.80,1.55274511
40016.6,1768.30,1.62204965
40020.2,1768.80,1.54395987
40024.1,1769.30,1.74395987
40029.7,1769.80,1.34964731
40033.7,1770.30,1.69585665
40041.1,1770.90,1.26109992
40045.5,1771.40,0.779309888
40046.8,1771.90,0.732438266
40051,1772.40,0.5494421
40056.6,1772.90,0.479309888
40063.4,1773.40,0.432438266
40069.8,1773.90,0.432438266
40075.5,1774.40,0.2494421
40081.4,1774.90,0.432438266
40087.8,1775.40,0.29012914
40092.6,1775.90,0.43080469
40097.1,1776.40,5.78239436
40104.9,1777.00,4.8139839
40110.6,1777.50,4.83728887
40115.6,1778.00,5.21568752
40120.9,1778.50,5.36819601
40151.3,1781.10,5.31499002
40156.4,1781.60,5.3903862
40163.1,1782.10,5.50742222
40169.3,1782.60,5.90359091
40175.2,1783.20,6.18498084
40180.4,1783.70,6.16383574
40183.4,1784.20,5.66819601
40188.5,1784.70,5.90359091
40193.6,1785.30,5.6378425
40199.2,1785.80,5.90571622
40204.6,1786.30,6.17066412
40209.5,1786.80,5.99619271
40216.2,1787.40,6.31499002
40221,1787.90,6.32640721
40223.8,1788.40,6.22640721
40228.8,1788.90,6.33728887
40234.6,1789.50,6.20144981
40238.2,1790.00,6.71866941
40243.5,1790.50,6.78613662
40250.7,1791.10,6.85895702
40256.9,1791.60,6.73527214
40261.2,1792.10,7.12461987
40266.6,1792.60,7.33472991
40272.3,1793.20,6.48708371
40275,1793.70,6.39282972
40281.7,1794.20,6.11374799
40285.9,1794.70,5.92461987
40293,1795.30,5.74667887
40297.6,1795.80,5.99282972
40303.1,1796.30,6.03527214
40310.3,1796.80,5.93157626
40316.6,1797.40,5.45422742
40322.3,1797.90,6.75895702
40326.6,1798.40,7.10742222
40331.6,1798.90,6.67695758
40338.9,1799.50,7.07933984
40345.3,1800.00,6.85702805
40350.2,1800.50,6.8903862
40354.9,1801.10,6.18738991
41060.8,1866.50,6.98217341
41067.6,1867.10,6.64599479
41073.6,1867.60,6.8722575
41080,1868.10,7.15901745
41086,1868.60,7.41261639
41093.2,1869.20,7.34738938
41098.8,1869.70,6.98232945
41105.3,1870.20,7.38224389
41110.7,1870.70,7.90757276
41116.7,1871.30,7.84377445
41122.8,1871.80,8.32282076
41128.1,1872.30,8.99840949
41132.8,1872.80,9.04616439
41141,1873.40,9.20939074
41146.9,1873.90,8.99840949
41154.4,1874.40,7.50738139
41161.5,1874.90,8.07041827
41168.1,1875.50,7.69408858
41173.8,1876.00,7.51783535
41178.9,1876.50,8.07154696
41186.2,1877.10,8.17041827
41192.4,1877.60,7.94762686
41197.4,1878.10,8.07041827
41202.3,1878.60,8.15861167
41209.6,1879.20,8.47041827
41216.3,1879.70,8.30595238
41222.5,1880.20,8.69670349
41228.5,1880.70,8.00757276
41235.6,1881.30,8.33987223
41241.8,1881.80,8.49840949
41247.1,1882.30,8.85901745
41252.7,1882.80,7.91374799
41259.1,1883.40,7.73676094
41264.6,1883.90,9.80939074
41270.8,1884.40,9.17154696
41276.1,1884.90,8.57154696
41282.6,1885.50,8.62282076
41287.7,1886.00,9.11060516
41294.3,1886.50,9.05958764
41301.2,1887.10,9.09840949
41307.2,1887.60,9.24731195
41313.6,1888.10,9.29840949
41320.7,1888.60,8.79401347
41329.4,1889.20,8.58623372
41335.5,1889.70,8.71060516
41341.4,1890.20,7.29149136
41347.7,1890.70,9.26194164
41355,1891.30,8.57154696
41360.7,1891.80,7.88232945
41368.2,1892.30,8.21962039
41374.2,1892.80,8.40847909
41381.1,1893.40,8.32114312
41386,1893.90,6.890365
41391.5,1894.40,6.77803892
41396.9,1894.90,6.95957723
41404.7,1895.50,6.86819601
41411,1896.00,6.40144981
41418.7,1896.50,7.05901745
41426.6,1897.10,7.990365
41431.7,1897.60,6.16280255
41437.5,1898.10,5.69703796
41443.4,1898.60,6.88652604
41449.8,1899.20,8.13474456
41454.9,1899.70,8.82647986
41459.2,1900.20,8.42423098
41464.7,1900.70,6.78613662
41471.9,1901.30,5.38613662
41476.9,1901.80,5.01866941
41482.5,1902.30,4.83505537
41486.8,1902.80,11.5269389
41494.7,1903.40,11.3762623
41500.9,1903.90,10.6335818
41507.3,1904.40,10.5892493
41513.4,1904.90,10.1539625
41521.3,1905.50,11.1093907
41528.3,1906.00,10.8523
41536.5,1906.50,10.8150779
41544,1907.10,10.6713921
41551.1,1907.60,10.4106052
41558.3,1908.10,10.5984095
41564,1908.60,9.79554468
41570.4,1909.20,9.88353609
41577.7,1909.70,9.4241889
41585.3,1910.20,10.1952922
41589.9,1910.70,11.7075728
41597.1,1911.30,10.1821734
41603,1911.80,8.56383574
41609.5,1912.30,7.54929595
41616.5,1912.80,8.05957723
41622.5,1913.40,7.55251744
41627.9,1913.90,8.38970638
41633.1,1914.40,8.50271133
41638.9,1914.90,7.48217341
41647.3,1915.50,8.30271133
41653.4,1916.00,8.14731195
41659,1916.50,7.94762686
41665.6,1917.10,7.8274649
41671,1917.60,8.78970638
41677.1,1918.10,7.92984361
41683.9,1918.60,7.87041827
41691.7,1919.20,6.78498084
41697.1,1919.70,7.62640721
41704.5,1920.20,8.41962039
41712.7,1920.70,8.7378425
41720.4,1921.30,8.88623372
41725.2,1921.80,8.07803892
41730.9,1922.30,8.18623372
41736.5,1922.80,7.12282076
41744.1,1923.40,7.32282076
41749.8,1923.90,7.61962039
41756.9,1924.40,6.72282076
41763.8,1924.90,6.2316876
41771.6,1925.50,7.3523
42511.2,1992.00,7.93987223
42516.5,1992.50,7.90225815
42521.4,1993.00,7.27803892
42527.5,1993.60,7.11507794
42533.5,1994.10,6.1274649
42539.9,1994.60,5.7523
42544,1995.10,6.56329695
42550,1995.60,7.08003656
42555.9,1996.10,7.08403728
42562.7,1996.70,7.98735036
42566.9,1997.20,7.77954892
42571.9,1997.70,7.57954892
42575.5,1998.20,6.890365
42580.3,1998.70,7.35344284
42586.9,1999.20,7.51528883
42594.6,1999.80,8.05876778
42597.2,2000.30,7.55035334
42602.6,2000.80,6.79237414
42608.8,2001.30,5.38652604
42613.8,2001.80,7.15344284
42616.4,2002.30,7.20522077
42622,2002.90,7.07954892
42624.5,2003.40,7.57721702
42628.1,2003.90,7.93358185
42634.2,2004.40,8.14120124
42639.1,2004.90,8.15396252
42644.5,2005.40,7.06280255
42650.3,2006.00,7.39408858
42655.4,2006.50,7.87954892
42661.2,2007.00,7.48403728
42665.7,2007.50,8.06763104
42670.8,2008.00,8.12834141
42676.1,2008.60,8.44020282
42681.7,2009.10,9.0391137
42687.9,2009.60,7.15861167
42692.7,2010.10,7.36194164
42697.4,2010.60,7.28403728
42701.5,2011.10,6.09703796
42710.4,2011.70,7.48224389
42718.5,2012.20,8.72679283
42727.1,2012.70,8.01340558
42736.6,2013.20,7.34120124
42744.2,2013.70,7.09840949
42761.1,2014.80,6.98353609
42769.5,2015.30,6.25901745
42778,2015.80,7.45876778
42785.6,2016.30,7.84731195
42792.7,2016.80,8.61962039
42801.3,2017.30,8.69401347
42811.2,2017.90,8.40795621
42819.5,2018.40,7.84524482
42829.2,2018.90,6.70709473
42836.6,2019.40,6.76383574
42844.9,2019.90,8.32362895
42853,2020.40,8.59703796
42862.3,2021.00,7.3014903
42869.5,2021.50,7.74121697
42876.9,2022.00,7.81253072
42884.3,2022.50,5.51748029
42891.5,2023.00,7.48376568
42899.9,2023.60,7.54524482
42906.9,2024.10,6.05179914
42913.6,2024.60,2.82993431
42920.2,2025.10,2.85957723
42927.3,2025.60,3.31060516
42933.5,2026.10,2.65957723
42942.1,2026.70,4.20704608
42950.6,2027.20,4.85380797
42957.8,2027.70,6.02175516
42964.2,2028.20,7.84823221
42970.7,2028.70,8.60040794
42978.4,2029.20,8.32282076
42987.5,2029.80,9.08341007
42995.4,2030.30,8.02528134
43003.9,2030.80,7.59432809
43010.1,2031.30,7.37377013
43016.8,2031.80,7.35164332
43024.5,2032.30,7.86684654
43032.9,2032.90,7.85164332
43039.6,2033.40,8.0169689
43047.1,2033.90,8.39723508
43054.1,2034.40,7.5763871
43061.2,2034.90,6.61150407
43069.9,2035.40,5.12528134
43078.3,2036.00,5.19703796
43085.8,2036.50,6.11866941
43093,2037.00,7.44121697
43100.6,2037.50,8.12640721
43106.5,2038.00,7.87933984
43113.9,2038.60,6.96280255
43121.8,2039.10,5.85327386
43127.7,2039.60,6.53472991
43133,2040.10,7.02423098
43139.9,2040.60,7.51374799
43148,2041.10,8.22984361
43156.6,2041.70,7.51261733
43163.6,2042.20,8.29457718
43170.9,2042.70,8.59457718
43177.5,2043.20,7.79457718
43184.8,2043.70,6.34326508
43190.2,2044.20,5.93676094
43198.3,2044.80,5.86684654
43204.5,2045.30,5.71150407
43209.7,2045.80,5.5635143
43217.3,2046.30,5.53563024
43224.9,2046.80,5.38239436
43233.1,2047.30,5.29276071
43242.6,2047.90,5.39415266
43249.3,2048.40,5.34811458
43255,2048.90,5.24081284
43264,2049.40,5.14587758
43270.8,2049.90,4.9378425
43278.1,2050.40,4.64682406
43287,2051.00,4.80757276
43291.5,2051.50,4.84731195
44135.5,2118.00,4.92282076
44142,2118.50,4.68376568
44151.9,2119.10,5.40271133
44158,2119.60,6.10757276
44162.6,2120.10,6.49840949
44165.7,2120.60,6.97407778
44172,2121.20,7.15958764
44176.9,2121.70,7.31507794
44184.3,2122.20,7.61507794
44189.1,2122.80,7.46474825
44192.7,2123.30,8.07721702
44198.3,2123.80,8.33987223
44205.9,2124.40,8.53987223
44212.9,2124.90,8.70847909
44216.4,2125.40,8.7274649
44220.8,2125.90,9.11507794
44226.6,2126.50,9.2274649
44230.7,2127.00,9.41507794
44236.6,2127.50,9.17803892
44245,2128.10,9.31060516
44250.6,2128.60,9.39840949
44257.6,2129.10,9.74377445
44260.5,2129.60,9.59554468
44269.8,2130.20,9.58353609
44273.1,2130.70,9.84762686
44278.4,2131.20,9.80571622
44288.7,2131.80,9.93505537
44288.6,2132.30,9.69529218
44293.1,2132.80,9.5241889
44300.1,2133.30,9.34929595
44306.4,2133.90,9.08498084
44312.1,2134.40,9.15179914
44319,2134.90,9.00795621
44325.1,2135.50,8.68613662
44331.5,2136.00,8.8049118
44333.2,2136.50,8.53527214
44339.1,2137.10,8.53472991
44344.4,2137.60,8.91866941
44347.8,2138.10,8.31374799
44352.2,2138.60,7.89282972
44359.5,2139.20,7.3719748
44370,2139.70,7.58150723
44375,2140.20,8.03472991
44383,2140.80,7.87160227
44388,2141.30,8.07160227
44391.6,2141.80,8.3139839
44394.9,2142.30,8.59276071
44397.2,2142.90,8.5139839
44403.3,2143.40,8.03527214
44409.9,2143.90,8.06197437
44419.7,2144.50,8.1049118
44426.4,2145.00,7.94811458
44429.5,2145.50,7.66197437
44433.3,2146.00,7.54594074
44438.3,2146.60,7.48217341
44445.3,2147.10,7.54524482
44451.7,2147.60,8.3049118
44461.7,2148.20,7.7775592
44463.8,2148.70,9.24738938
44464.3,2149.20,8.72647986
44470,2149.80,8.56438454
44475.2,2150.30,8.80795621
44480.6,2150.80,9.27525216
44483.3,2151.30,8.80336419
44489.4,2151.90,8.79220983
44497.9,2152.40,8.90742222
44504.2,2152.90,10.4607676
44508.9,2153.50,9.55118293
44514.9,2154.00,10.149296
44516.2,2154.50,11.0357799
44522.6,2155.00,10.8473894
44528.5,2155.60,8.60738139
44537.7,2156.10,8.12153271
44545.4,2156.60,9.48353609
44557.3,2157.70,9.28623372
44561.1,2158.20,8.95251744
44567.2,2158.70,8.92153271
44576.4,2159.30,8.82685763
44582.7,2159.80,8.59723508
44587.5,2160.30,8.47153787
44597.1,2160.90,8.63349901
44602.7,2161.40,8.4169689
44606.9,2161.90,7.47439614
44613.2,2162.50,7.92773987
44619.2,2163.00,9.35118293
44621.2,2163.50,9.81150407
44623.9,2164.00,9.45061978
44627.6,2164.60,9.68393073
44634.2,2165.10,9.9635143
44635,2165.60,9.79581766
44642.7,2166.20,10.7169689
44644.4,2166.70,10.5873899
44649.6,2167.20,10.2030413
44657.4,2167.70,9.58738991
44658.6,2168.30,9.6775592
44665.8,2168.80,10.333499
44671.8,2169.30,10.0432651
44678.3,2169.90,8.5775592
44680.3,2170.40,9.34326508
44690.2,2170.90,10.0775592
44697.8,2171.40,9.81400967
44705.2,2172.00,10.333499
44710,2172.50,10.4945772
44717.3,2173.00,10.4945772
44726.5,2173.60,9.59457718
44734.1,2174.10,9.60428633
44740.7,2174.60,10.1140097
44749.1,2175.20,10.0945772
44750.7,2175.70,11.0945772
44758.2,2176.20,10.4945772
44763.6,2176.70,9.60428633
44768,2177.30,9.20428633
44772,2177.80,9.63349901
44778.7,2178.30,9.81400967
44780.9,2178.90,10.4140097
44782.2,2179.40,9.63349901
44786.1,2179.90,8.96774292
44791,2180.40,9.39723508
44797.8,2181.00,9.75794102
44802.4,2181.50,9.76774292
44809,2182.00,9.25794102
44814.8,2182.60,7.76104521
44816.2,2183.10,7.69723508
44822.2,2183.60,8.75702805
44830.6,2184.10,9.8903862
44838.8,2184.70,9.59415266
44844.2,2185.20,9.52984361
44848.3,2185.70,8.95702805
44856.2,2186.30,8.62984361
44861.8,2186.80,8.61568752
44866.9,2187.30,8.91568752
44873.8,2187.90,9.27517193
44878.9,2188.40,9.18217341
44885.2,2188.90,9.42461987
44890.6,2189.40,9.44524482
44897,2190.00,9.64163474
44903.1,2190.50,10.424231
44910.1,2191.00,10.0928297
44917,2191.60,9.98239436
44918.2,2192.10,9.961571
44925.6,2192.60,10.1928297
44930.5,2193.10,10.4356302
44938.6,2193.70,10.2532739
44945.7,2194.20,10.337942
44953.1,2194.70,9.37510756
44959.9,2195.30,9.60709473
44966.7,2195.80,9.44163474
44976.2,2196.30,9.08708371
44983.6,2196.90,8.95675055
44988.8,2197.40,8.99723508
44992.7,2197.90,8.30571215
44997,2198.40,8.27930989
45001.5,2199.00,9.49723508
45006.1,2199.50,9.31150407
45010.6,2200.00,8.34502113
45014,2200.60,8.22664759
45022.9,2201.10,9.23794198
45025.1,2201.60,8.49457718
45028.5,2202.10,8.3169689
45033.6,2202.70,8.47695758
45040.5,2203.20,8.95327386
45047,2203.70,9.20738139
45056.8,2204.30,8.53582786
45053.6,2204.80,9.08708371
45057.6,2205.30,9.10738139
45067.7,2205.90,8.58708371
45072.3,2206.40,8.08150723
45090.6,2208.50,7.83563024
45096.4,2209.00,7.65118293
45103.8,2209.60,8.05118293
45106.5,2210.10,7.73676094
45113.1,2210.60,8.11494803
45120.4,2211.10,9.08239436
45128.8,2211.70,8.86158325
45134.5,2212.20,8.98404138
45142.2,2212.70,7.21898749
45148.1,2213.30,5.95327386
45153.7,2213.80,5.98341007
45161.2,2214.30,5.64630385
45170.1,2214.90,5.72436539
45175,2215.40,5.27377013
45179.2,2215.90,6.04030889
45186.6,2216.40,6.21807767
45191.7,2217.00,5.94630385
45192.9,2217.50,5.95817436
45198.8,2218.00,6.35817436
45205.8,2218.60,5.88217341
45207.3,2219.10,5.98761006
45212.1,2219.60,6.56260984
45221.1,2220.10,6.23660363
45224.2,2220.70,6.82108161
45231.5,2221.20,6.86438454
45228.6,2221.70,7.47933984
45237.4,2222.30,7.2635143
45242.5,2222.80,7.62330558
45248.9,2223.30,6.38217341
45256.4,2223.90,6.31929985
45264,2224.40,6.36104724
45270.2,2224.90,6.29806043
45277.4,2225.40,6.60867202
45285.5,2226.00,7.46197437
45291.2,2226.50,7.55128118
45293.4,2227.00,7.91898749
45302.8,2227.60,9.12947845
45309.1,2228.10,9.69805334
45312.4,2228.60,9.71898749
45320.1,2229.10,9.27160227
45322.3,2229.70,8.89806043
45329.4,2230.20,8.70867202
45333.4,2230.70,9.31929985
45344.2,2231.30,8.68341007
45351.5,2231.80,8.71029758
45354.7,2232.30,8.50249497
45360.4,2232.90,8.10144981
45364.9,2233.40,7.85145063
45373,2233.90,7.94686498
45378.4,2234.40,8.43212259
45387.9,2235.00,8.70359091
45392.8,2235.50,8.6695016
45394.4,2236.00,9.20106232
45404.2,2236.60,9.21157464
45410.2,2237.10,9.15320109
45413.3,2237.60,8.86260984
45421.4,2238.20,8.4998625
45424.5,2238.70,8.60001809
45432.5,2239.20,8.64762686
45437,2239.80,8.52330558
45442.4,2240.30,7.72947845
45446.8,2240.80,7.9572987
45454,2241.30,8.48816912
45458.8,2241.90,8.1645126
45463,2242.40,7.61189147
45468,2242.90,6.93577988
45474.4,2243.50,6.4775391
45477.6,2244.00,6.71157464
45485.3,2244.50,7.70742222
45488,2245.10,8.75050828
45492.5,2245.60,9.961571
45497.6,2246.10,10.5366036
45505.2,2246.70,11.5021631
45511.3,2247.20,11.6078276
45514.8,2247.70,12.8078276
45514.9,2248.30,12.7080374
45519.6,2248.80,12.6865524
45524.9,2249.30,12.9404229
45530.2,2249.80,11.9404229
45539.7,2250.40,11.9900559
45546,2250.90,12.8283501
45547.3,2251.40,12.3190385
45555.7,2252.00,11.9012814
45562.1,2252.50,12.6007311
45562.1,2253.00,11.2027919
45569.9,2253.60,9.31052159
45578.3,2254.10,7.43137272
45586.1,2254.60,5.54810396
45591.1,2255.20,11.7349053
45597.7,2255.70,13.2898103
45606.8,2256.20,11.6354632
45612.9,2256.80,11.4765557
45615.3,2257.30,10.8739739
45621.3,2257.80,10.7665681
45625.4,2258.30,10.2471594
45633.3,2258.90,10.0852548
45634.6,2259.40,9.83213896
45642,2259.90,10.2455622
45650.5,2260.50,9.45514083
45655,2261.00,9.67239042
45663.9,2261.50,9.78125611
45668.3,2262.10,9.66313082
45676.8,2262.60,9.19995701
45685.3,2263.10,8.87239042
45694.9,2263.70,8.90761236
45703.5,2264.20,9.33147299
45712.6,2264.70,9.3506633
45724.1,2265.30,8.58198266
45735.3,2265.80,9.70235781
45744.5,2266.30,9.92224997
45752.3,2266.80,10.0625578
45762.4,2267.40,10.1537471
45770.6,2267.90,10.305394
45779.5,2268.40,8.95095423
45789.7,2269.00,9.54217991
45795.6,2269.50,10.3741178
45802,2270.00,12.8980882
45809.5,2270.60,10.383655
45815.9,2271.10,10.3695898
45822.8,2271.60,9.14790534
45832.6,2272.20,10.1725902
45839.6,2272.70,11.4945273
45846.6,2273.20,11.6421799
45857.5,2273.80,11.6725902
45863.4,2274.30,11.6945273
45868.3,2274.80,11.6645907
45876.7,2275.30,11.5852548
45884.9,2275.90,11.8860134
45895.9,2276.40,11.5090826
45903.8,2276.90,10.9358348
45912.1,2277.50,10.2776542
45921.5,2278.00,11.1509542
45935,2279.00,11.3698048
45942.4,2279.50,10.7039821
45949.2,2280.00,10.9039821
45956.7,2280.50,11.3090826
45966.2,2281.10,11.2358348
45974.3,2281.60,10.9994152
45982.6,2282.10,10.9179648
45991.3,2282.60,10.599957
45999.9,2283.10,10.1461339
46009.2,2283.60,9.46595843
46017.3,2284.10,9.26595843
46027.9,2284.60,9.29524982
46033.1,2285.10,9.00048871
46041,2285.60,9.06641231
46048.3,2286.10,9.85409559
46056.6,2286.60,10.660091
46067.1,2287.20,11.4090826
46076.1,2287.70,11.4358348
46086.8,2288.20,11.0179648
46098.7,2288.70,11.1723904
46103.4,2289.20,10.917608
46111.2,2289.70,10.7631308
46122.4,2290.20,11.499957
46127.1,2290.70,11.5282593
46136.2,2291.20,10.812878
46146.3,2291.70,10.599957
46153.6,2292.20,10.1461339
46162.5,2292.70,10.329283
46170.5,2293.30,9.33246048
46177.8,2293.80,10.1921426
46185.9,2294.30,9.63147299
46194,2294.80,9.24715938
46201,2295.30,9.08601344
46206.9,2295.80,10.0739739
46214.7,2296.30,10.6347879
46223.4,2296.80,10.7543624
46231.2,2297.30,9.48954167
46244.1,2297.80,10.4994152
46254.6,2298.30,10.8921426
46263.9,2298.80,11.1023578
46269.6,2299.40,10.5152505
46276.8,2299.90,9.59941516
46283.8,2300.40,9.78525484
46291.2,2300.90,9.65095423
46297.9,2301.40,9.63147299
46307.6,2301.90,9.71525047
46313.9,2302.40,10.4021973
46323.8,2302.90,11.2013154
46330.1,2303.40,9.70845172
46336.3,2303.90,9.46988981
46342.8,2304.40,9.23213896
46352.8,2304.90,9.03583481
46363.4,2305.50,9.64715937
46376.5,2306.00,9.5506633
46383.3,2306.50,9.46656807
46393.5,2307.00,9.37397386
46399.6,2307.50,9.01330838
46406.1,2308.00,8.8936225
46415.4,2308.50,8.82224997
46425,2309.00,8.32778729
46434.1,2309.50,8.43478793
46439.5,2310.00,8.13478793
46450,2310.50,8.13478793
46458.5,2311.10,7.98601344
46464.4,2311.60,8.02778729
46468.2,2312.10,8.03147299
46475.1,2312.60,7.88365498
46487.5,2313.10,7.66980483
46494.3,2313.60,7.19995701
46502.2,2314.10,6.6776542
46510.6,2314.60,4.02984361
46518.3,2315.10,1.81934693
46530,2315.60,0.433398698
46539.5,2316.10,4.62892656
46548.3,2316.60,7.09553407
46558.7,2317.20,3.30917521
46565.9,2317.70,2.23031284
46575.5,2318.20,4.1686191
46587,2318.70,3.4925287
46596.2,2319.20,3.96164737
46608.7,2319.70,3.17376085
46619.8,2320.20,19.019422
46627,2320.70,20.1385078
46636.4,2321.20,13.9222421
46643.4,2321.70,8.9274657
46656.5,2322.20,7.24300295
46663.3,2322.70,6.40917521
46676.5,2323.30,6.76566218
46685.5,2323.80,8.13269509
46692.4,2324.30,8.76156036
46702.6,2324.80,7.57290475
46709.3,2325.30,5.83269509
46720.3,2325.80,6.20400489
46726.4,2326.30,3.3222421
46734.1,2326.80,2.41702426
46742.9,2327.30,3.00113403
46752.8,2327.80,4.20548629
46760,2328.30,6.53873202
46767,2328.80,4.15367058
46777.3,2329.40,2.03798281
46786.9,2329.90,2.09097127
46794.3,2330.40,2.9704431
46805.8,2330.90,2.79893287
46814.1,2331.40,3.21929603
46820.5,2331.90,3.48763198
46825.6,2332.40,3.6704431
46835.1,2332.90,3.51639223
46842.2,2333.40,3.99785459
46852.2,2333.90,3.97616628
46860,2334.40,3.55697108
46867.1,2334.90,3.4686191
46880.9,2335.50,3.63610886
46890.8,2336.00,3.68060019
46900.4,2336.50,5.9925287
47028.9,2345.00,6.91253446
47034.9,2345.40,3.63781348
47041.1,2345.90,2.6531781
47050.9,2346.40,2.21159357
47060,2346.90,2.5374711
47068.2,2347.30,2.65370627
47076.7,2347.80,2.96339828
47095.8,2348.80,3.39198526
47102.2,2349.20,3.84395945
47109.7,2349.70,5.16021369
47117.4,2350.20,7.47978187
47263.4,2358.80,7.40598045
47272.2,2359.20,7.32900574
47281.5,2359.70,11.7290057
47289.7,2360.20,13.5224174
47303.3,2360.70,12.8356019
47309.3,2361.10,10.0994192
47315.9,2361.60,5.10598045
47322.5,2362.10,4.32241738
47331.4,2362.60,3.36021369
47339.6,2363.00,2.43375402
47346.5,2363.50,1.55429909
47354.8,2364.00,0.66206456
47365.5,2364.50,8.21811494
47370.6,2365.00,16.5093907
47378.9,2365.40,95.1628026
47385.9,2365.90,19.0466789
47394.6,2366.40,23.513748
47404.1,2366.90,13.7737701
47409.2,2367.30,10.3416347
47417,2367.80,9.49149136
47424.6,2368.30,8.78738991
47434.2,2368.80,7.72374722
47440.7,2369.20,7.3939044
47449.5,2369.70,7.50332305
47455.7,2370.20,8.05168705
47463.8,2370.70,8.6330108
47470.1,2371.10,9.24326508
47478,2371.60,8.73947339
47487.2,2372.10,10.8450211
47492.5,2372.60,14.8178723
47498.5,2373.00,16.6566334
47508.7,2373.50,12.3697713
47515.9,2374.00,9.23947339
47525.3,2374.50,9.73555132
47530.7,2375.00,12.5380837
47535.8,2375.40,12.7378619
47541.6,2375.90,12.9742857
47549.3,2376.40,4.7146739
47560.4,2376.90,3.17813103
47570.6,2377.30,4.16799555
47577.8,2377.80,7.32009837
47585.3,2378.30,3.90598758
47590.9,2378.80,1.57458431
47598.7,2379.20,1.62716495
47606.6,2379.70,4.06163197
47613.7,2380.20,13.296441
47619.8,2380.70,13.965137
47626.8,2381.10,11.3266476
47633.8,2381.60,10.6378619
47643.6,2382.10,9.32679435
47651,2382.60,5.2072584
47657.7,2383.00,3.21819413
47663.2,2383.50,10.0939044
47670,2384.00,7.97428566
47678.8,2384.50,4.53794198
47686.6,2385.00,3.64326508
48689.5,2450.00,4.00502406
48696.7,2450.50,5.73847954
48704.1,2451.00,8.68874053
48712.3,2451.40,5.59243219
48718.6,2451.90,4.71430861
48727.5,2452.40,2.98615925
48734.4,2452.90,1.56507484
48740.9,2453.40,0.360345354
48748,2453.90,1.68786963
48755.2,2454.30,1.48032531
48764.1,2454.80,1.75746412
48771.5,2455.30,2.55746412
48779.6,2455.80,2.44167056
48786.4,2456.30,2.03808367
48789.5,2456.70,2.29206306
48797.5,2457.20,6.27056042
48803.5,2457.70,7.13191871
48812.2,2458.20,6.89856815
48818.8,2458.70,6.89856815
48829.7,2459.20,7.47076176
48834.9,2459.60,8.07930989
48843.5,2460.10,9.28714959
48852.2,2460.60,9.13518673
48857.1,2461.10,8.80502406
48863.2,2461.60,9.20320904
48869.3,2462.00,10.9527451
48872.4,2462.50,12.5791737
48881.8,2463.00,12.2994723
48890.5,2463.50,14.9174803
48896.7,2464.00,17.8991845
48903,2464.50,14.6904835
48908,2464.90,16.1222252
48917.5,2465.40,19.7050961
48922.5,2465.90,16.4070185
48927.1,2466.40,11.5610452
48936.5,2466.90,9.2939044
48944.4,2467.30,7.46012004
48952.3,2467.80,6.04234226
48958.7,2468.30,2.81374799
48964.5,2468.80,11.0111959
48971.2,2469.30,13.9222792
48978.3,2469.80,12.9176563
48981.5,2470.20,10.4776191
48990.5,2470.70,12.7111959
48995.5,2471.20,11.9475212
49002,2471.70,11.50299
49006.1,2472.20,11.732262
49009.2,2472.70,10.7013154
49015.1,2473.10,10.2281425
49023.6,2473.60,8.7921426
49031.7,2474.10,8.87259023
49039,2474.60,7.2834349
49047.4,2475.10,9.19452727
49050.6,2475.50,9.87136207
49057,2476.00,8.76656261
49063.9,2476.50,8.59484585
49072.6,2477.00,8.68198266
49075.4,2477.50,7.9834349
49083.8,2478.00,8.4921426
49091.5,2478.40,8.97397386
49099.9,2478.90,8.68365498
49104.7,2479.40,7.7776542
49112.2,2479.90,8.83478793
49118.8,2480.40,8.23600601
49119.9,2480.80,9.72643737
49129.3,2481.30,7.16526206
